,Part,Content,URL,Date,Issue,Deleted,Archived URL,Archived Date
10,8. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names and Notices - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/15_VI_4_2023.pdf,2023-04-12,15,False,,
16,6. Part III--Section 1b,"Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments HOME DEPARTMENT - Amendments to the Special Rules for the Tamil Nadu Police Service",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_1b_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131650/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_1b_2023.pdf,2023-04-10 13:16:50
20,12. Part VI--Section 4,PRIVATE ADVERTISEMENTS -Advertisements by private individuals and private institutions Change of Names and Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/14_VI_4_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131713/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_VI_4_2023.pdf,2023-04-10 13:17:13
18,8. Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc. GENERAL NOTIFICATIONS--Winding up the affairs of certain Co-operative Societies in Certain Districts and Appointment of Official Liquidator and The Tamil Nadu Digital Printing Service Industrial Cooperative Society Ltd., Chennai District, etc. REHABILITATION AND RESETTLEMENT PROJECT IN CUDDALORE DISTRICT--Variation to the Approved Second Master Plan for Chennai Metropolitan Area 2026 etc., Coimbatore Master Plan and Dindigul Local Planning Area…………….",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_VI_1_2023.pdf,2023-04-05,14,False,,
17,7. Part III--Section 2,"Statutory Notifications and Orders issued by Heads of Departments JUDICIAL NOTIFICATION - The High Court of Judicature at Madras Madras High Court Intellectural Property Rights Division Rules, 2022",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_2_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131710/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_2_2023.pdf,2023-04-10 13:17:10
19,11. Pat VI--Section 3a,"Notifications issued by cost recoverable institutions of State and Central Governments. GENERAL NOTIFICATIONS - TAMIL NADU WAQF BOARD, CHENNAI - Taking over the Amanusha Pallivasal, Pettai, Tirunelveli District (G.S.No.584/TNV) under Direct Management of Tamil Nadu Waqf Board and Errata to Notification",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_VI_3a_2023.pdf,2023-04-05,14,False,,
15,5. Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments HUMAN RESOURCES MANAGEMENT DEPARTMENT - Amendments to the Tamil Nadu Information Commission (Appeal Procedure) Rules, 2012",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_1a_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131643/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_III_1a_2023.pdf,2023-04-10 13:16:43
13,3. Pat II--Section 2,"Notifications or Orders of interest to a section of the public issued by Secretariat Departments ANIMAL HUSBANDRY, DAIRYING, FISHERIES AND FISHERMEN WELFARE DEPARTMENT - Prevention of Cruelty to Animals Act. Places and Dates for Conducting Jallikattu /Eruthu Vidum Vizha/Manjuvirattu in Certain Districts etc. COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Indian Stamp Act, Provisions for the consolidation of Duty Chargeable in respect of issue of Insurance policies by the New India Assurance Company Limited and Amendment to Notification COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Life Insurance Corporation of India, P&GS Department Divisional Office, Tirunelveli. Amendment to Notification ENVIRONMENT, CLIMATE CHANGE AND FOREST DEPARTMENT. Tamil Nadu Forest Act.- Declaration of Nariyuthu Forest Block in Nilakottai Taluk in Dindigul District as Reserved Forest, etc. HOME DEPARTMENT - Human Rights Act. Appointment of Law Officer for Human Rights Act at the District and Sessions Court in Chennai District on tenure basis",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_II_2_2023.pdf,2023-04-05,14,False,,
11,1. Part I,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. ENVIRONMENT, CLIMATE CHANGE AND FOREST DEPARTMENT - Appointment I. NOTICE REGARDING GAZETTE EXTRAORDINARY ISSUES PUBLISHED DURING THE WEEK. II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK.",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_I_2023.pdf,2023-04-05,14,False,,
12,2. Part II--Section 1,"Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments ADI DRAVIDAR AND TRIBAL WELFARE DEPARTMENT - The Constitution (Scheduled Tribes) Order (Second Amendment) Act, 2022 (Central Act 1 of 2023)",http://www.stationeryprinting.tn.gov.in/gazette/2023/14_II_1_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131642/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_II_1_2023.pdf,2023-04-10 13:16:42
14,4. Part II--Section 2T-Sup.,Notifications or Orders of interest to a section of the public issued by Secretariat Departments Government Notifications and Tamil Translations,http://www.stationeryprinting.tn.gov.in/gazette/2023/14_II-2_T_Sup_2023.pdf,2023-04-05,14,False,https://web.archive.org/web/20230410131722/http://www.stationeryprinting.tn.gov.in/gazette/2023/14_II-2_T_Sup_2023.pdf,2023-04-10 13:17:22
25,6. Part VI--Section 1-T-Sup,"Notifications of interest to the General Public issued by Heads of Departments, Etc Notification of Continuation of Grant of to Lands Declared as Surplus Land under Section 45(1) of the Tamil Nadu Land Reforms Act, 1961",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_1_T_Sup_2023.pdf,2023-03-29,13,False,,
28,9. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_4_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090053/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_4_2023.pdf,2023-04-04 09:00:53
26,7. Part VI--Section 3a,Notifications issued by cost recoverable institutions of State and Central Governments JUDICIAL NOTIFICATIONS - Insolvency Petitions,http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_3a_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090056/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_3a_2023.pdf,2023-04-04 09:00:56
27,8. Part VI--Section 3b,"Notifications issued by Quasi - Government bodies and Public Sector undertakings UNIVERSITY AUTHORITIES - THE TAMIL NADU Dr. M.G.R. MEDICAL UNIVERSITY, CHENNAI - Result of Election of one Professor held to the Senate of the Tamil Nadu Dr.M.G.R. Medical University, Teachers of all Affiliated Nursing Colleges (Tamil Nadu Act 1987)",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_3b_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090054/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_3b_2023.pdf,2023-04-04 09:00:54
24,5. Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc GENERAL NOTIFICATIONS - Appointment of Official Liquidator for certain Co-operative Societies in Dharmapuri District. TAMIL NADU NURSES AND MIDWIVES COUNCIL, CHENNAI - Result of Election for Member of the Nurses League of the Christian Medical Association of India, South India Branch.",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_1_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090055/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_VI_1_2023.pdf,2023-04-04 09:00:55
23,4. Part III--Section 2,"Statutory Notifications and Orders issued by Heads of Departments V.O.CHIDAMBARANAR PORT AUTHORITY, THOOTHUKUDI - General Scale of Rates and Terms & Conditions",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_III_2_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090055/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_III_2_2023.pdf,2023-04-04 09:00:55
22,3. Part III--Section 1a,"General Statutory Rules, Notifications, Orders, Regulations, etc., issued by Secretariat Departments LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Amendments to the Tamil Nadu Factories Rules",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_III_1a_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230404090053/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_III_1a_2023.pdf,2023-04-04 09:00:53
21,1. Part I,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments I. NOTICE REGARDING GAZETTE EXTRAORDINARY ISSUES PUBLISHED DURING THE WEEK. II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK. REVENUE AND DISASTER MANAGEMENT DEPARTMENT - Dismissed",http://www.stationeryprinting.tn.gov.in/gazette/2023/13_I_2023.pdf,2023-03-29,13,False,https://web.archive.org/web/20230331231949/http://www.stationeryprinting.tn.gov.in/gazette/2023/13_I_2023.pdf,2023-03-31 23:19:49
29,1. Part I,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments I. NOTICE REGARDING GAZETTE EXTRAORDINARY ISSUES PUBLISHED DURING THE WEEK II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK PUBLIC DEPARTMENT - (Special-A) - Appointment",http://www.stationeryprinting.tn.gov.in/gazette/2023/12_I_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090054/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_I_2023.pdf,2023-04-04 09:00:54
30,4. Part III-Section 1a,"General Statutory Rules, Notifi cations, Orders, Regulations, etc., issued by Secretariat Departments. AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Amendments to the Tamil Nadu Co-operative Sugar Mills Managerial Common Cadre System Rules, 2018. ENVIRONMENT, CLIMATE CHANGE AND FOREST DEPARTMENT - Amendments to the Tamil Nadu Regulation of Wood Based Industries Rules, 2010.",http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_1a_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090054/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_1a_2023.pdf,2023-04-04 09:00:54
31,6. Part III-Section 1b,"Service Rules including Ad hoc Rules, Regulations, etc., issued by Secretariat Departments ENVIRONMENT, CLIMATE CHANGE AND FOREST DEPARTMENT - Amendments to the Special Rules for the Tamil Nadu Forest Subordinate Service FINANCE (CO-OPERATIVE AUDIT) DEPARTMENT - Amendments to Adhoc Rules to the posts of Joint Director of Co-operative Audit, Deputy Director of Co-operative Audit and Assistant Director of Co-operative Audit",http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_1b_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090053/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_1b_2023.pdf,2023-04-04 09:00:53
32,7. Part III-Section 2,"Statutory Notifications and Orders issued by Heads of Departments JUDICIAL NOTIFICATION - THE HIGH COURT OF JUDICATURE AT MADRAS - Amendment to Appendix G of the Code of the Civil Procedure, 1908",http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_2_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090055/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_III_2_2023.pdf,2023-04-04 09:00:55
33,9. Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc. GENERAL NOTIFICATIONS - Confirmation of variation to the Approved Cumbum Detailed Development Plan No.5 of Cumbum Local Planning Authority……………",http://www.stationeryprinting.tn.gov.in/gazette/2023/12_VI_1_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090053/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_VI_1_2023.pdf,2023-04-04 09:00:53
34,11. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/12_VI_4_2023.pdf,2023-03-22,12,False,https://web.archive.org/web/20230404090054/http://www.stationeryprinting.tn.gov.in/gazette/2023/12_VI_4_2023.pdf,2023-04-04 09:00:54
38,5. Part III-Section 1a,"General Statutory Rules, Notifi cations, Orders, Regulations, etc., issued by Secretariat Departments. HOME DEPARTMENT - (Prison-V) - Amendment to the Tamil Nadu Prison Rules TOURISM, CULTURE AND RELIGIOUS ENDOWMENTS DEPARTMENT - Amendment to the Management and Preservation of Properties of Religious Institutions Rules",http://www.stationeryprinting.tn.gov.in/gazette/2023/11_III_1a_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090055/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_III_1a_2023.pdf,2023-04-04 09:00:55
40,11. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/11_VI_4_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090053/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_VI_4_2023.pdf,2023-04-04 09:00:53
39,10. Part VI--Section 3a,"Notifications issued by cost recoverable institutions of State and Central Governments. GENERAL NOTIFICATION - TAMIL NADU WAQF BOARD, CHENNAI-600 001. - Framing of Bye Law in respect of Jamia Masjid, Tuticorin District",http://www.stationeryprinting.tn.gov.in/gazette/2023/11_VI_3a_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090056/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_VI_3a_2023.pdf,2023-04-04 09:00:56
36,2. Part II-Section 1,Notifications or Orders of specifi c character or of particular interest to the public issued by Secretariat Departments AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Declaration of certain Seed Testing Laboratories at Tiruppur as State seed Laboratory under the Act.,http://www.stationeryprinting.tn.gov.in/gazette/2023/11_II_1_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090144/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_II_1_2023.pdf,2023-04-04 09:01:44
37,3. Part II-Section 2,"Notifications or Orders of interest to a section of the public issued by Secretariat Departments ANIMAL HUSBANDRY, DAIRYING FISHERIES AND FISHERMEN WELFARE DEPARTMENT - Prevention of Cruelty to Animals Act, Places and Dates for Conducting Erudhuvidum Vizha / Jallikattu in certain Districts, etc. COMMERCIAL TAXES AND REGISTRATION DEPARTMENT - Indian Stamp Act. HEALTH AND FAMILY WELFARE DEPARTMENT - Drugs and Cosmetics Act Appointment of Government Analyst to the Drugs Testing Laboratory, Madurai. HOME DEPARTMENT - Tamil Nadu Protection of Interests of Depositors (in Financial Establishments) Act, Messers Jenith Herbals, Namakkal District LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT - Employees State Insurance Act, Renewal of Exemption granted to the Tamil Nadu Cements Corporation Limited, Ariyalur and Labour Courts for Adjudication",http://www.stationeryprinting.tn.gov.in/gazette/2023/11_II_2_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090054/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_II_2_2023.pdf,2023-04-04 09:00:54
35,1. Part I,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments I. NOTICE REGARDING GAZETTE EXTRAORDINARY ISSUES PUBLISHED DURING THE WEEK II. NOTICE REGARDING PARTS AND SECTIONS OF THE GAZETTE NOT PUBLISHED DURING THE WEEK REVENUE AND DISASTER MANAGEMENT DEPARTMENT - Dismissed",http://www.stationeryprinting.tn.gov.in/gazette/2023/11_I_2023.pdf,2023-03-15,11,False,https://web.archive.org/web/20230404090143/http://www.stationeryprinting.tn.gov.in/gazette/2023/11_I_2023.pdf,2023-04-04 09:01:43
41,1. Part I,"Notifications or Orders regarding first appointments, investiture of magisterial powers, etc., issued by Secretariat Departments. PUBLIC DEPARTMENT (Special-A)--Appointment REVENUE AND DISASTER MANAGEMENT DEPARTMENT--Dismissed",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_I_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090143/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_I_2023.pdf,2023-04-04 09:01:43
42,2. Part II--Section 2,"Notifications or Orders of interest to a section of the public issued by Secretariat Departments. AGRICULTURE AND FARMERS WELFARE DEPARTMENT--Tamil Nadu Agricultural University Act. COMMERCIAL TAXES AND REGISTRATION DEPARTMENT--Indian Stamp Act.—Provisions for consolidation of Duty Charges in respect of issue of Insurance policies by the new India Assurance Company Limited, Rani Seethai Hall, Chennai for certain period, etc. CO-OPERATION, FOOD AND CONSUMER PROTECTION DEPARTMENT--Amendment to Notification under the Tamil Nadu Co-operative Society Act. ENVIRONMENT, CLIMATE CHANGE - FOREST DEPARTMENT--Tamil Nadu Forest Act.— Declaration of Nainamalai Karadu Forest Block in Namakkal District as Reserved Forests HIGHER EDUCATION DEPARTMENT--Tamil Nadu Public Premises (Eviction of Unauthorized Occupants) Appointment of Estate Officer to the Alagappa University Karaikudi LABOUR WELFARE AND SKILL DEVELOPMENT DEPARTMENT--Labour Courts for Adjudication LAW ADMINISTRATION DEPARTMENT--Notaries Act.—Removal of certain Notary Name in the Register of Notaries in Salem District",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_II_2_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090146/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_II_2_2023.pdf,2023-04-04 09:01:46
43,3. Part III-Section 1a,"General Statutory Rules, Notifi cations, Orders, Regulations, etc., issued by Secretariat Departments. CO-OPERATION, FOOD AND CONSUMER PROTECTION DEPARTMENT - Amendment to the Tamil Nadu Consumer Protection (Salary, Allowances and conditions of service of President and Members of the State Commission and District Commission) Rules, 2021.",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_III_1a_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090144/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_III_1a_2023.pdf,2023-04-04 09:01:44
44,4. Part III-Section 2,"Statutory Notifi cations and Orders issued by Heads of Departments TAMIL NADU LABOUR WELFARE BOARD, CHENNAI - Unpaid Accumulation Amount for the Year April 2021 to March 2022",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_III_2_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090143/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_III_2_2023.pdf,2023-04-04 09:01:43
45,5. Part VI--Section 1,"Notifications of interest to the General Public issued by Heads of Departments, Etc GENERAL NOTIFICATIONS - Variation to the Approved Singanallur Detailed Development Plan No. 51 of Coimbatore Local Planning Area",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_1_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090143/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_1_2023.pdf,2023-04-04 09:01:43
46,6. Part VI--Section 1-A-Sup,"Notifications by Heads of Departments, Etc",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_1A_Sup_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090145/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_1A_Sup_2023.pdf,2023-04-04 09:01:45
47,7. Part VI--Section 2,"Notifications of interest to a section of the public issued by Heads of Departments, etc TAMIL NADU ELECTRICITY REGULATORY COMMISSION, CHENNAI - State Advisory Committee Regulations, 2004",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_2_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090143/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_2_2023.pdf,2023-04-04 09:01:43
48,8. Part VI—Section 3(b),"Notifications issued by Quasi - Government bodies and Public Sector undertakings. WELFARE OF DIFFERENTLY ABLED PERSONS DEPARTMENT--Rights of persons with Disabilities Act.— Suitable Posts for Differently Abled Persons in Tamil Nadu Adi Dravidar Housing and Development Corporation Limited. TAMIL NADU TRANSMISSION CORPORATION LIMITED--General Construction Circle, Coimbatore-Final Notification UNIVERSITY AUTHORITIES--MANONMANIAM SUNDARANAR UNIVERSITY, TIRUNELVELI--Election to the Senate--BHARATHIDASAN UNIVERSITY, TIRUCHIRAPPALLI--Election to the Senate",http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_3b_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090145/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_3b_2023.pdf,2023-04-04 09:01:45
49,9. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names,http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_4_2023.pdf,2023-03-08,10,False,https://web.archive.org/web/20230404090145/http://www.stationeryprinting.tn.gov.in/gazette/2023/10_VI_4_2023.pdf,2023-04-04 09:01:45
53,7. Part VI--Section 3(a),"Notifications issued by cost recoverable institutions of State and Central Governments. GENERAL NOTIFICATION - TAMIL NADU WAQF BOARD, CHENNAI-600 001 - Framing of Bye Law in respect of Tanjore Road, New Mosque Waqf, Trichy District",http://www.stationeryprinting.tn.gov.in/gazette/2023/9_VI_3a_2023.pdf,2023-03-01,9,False,https://web.archive.org/web/20230404090133/http://www.stationeryprinting.tn.gov.in/gazette/2023/9_VI_3a_2023.pdf,2023-04-04 09:01:33
56,10. Part II--Section 1,Notifications or Orders of specific character or of particular interest to the public issued by Secretariat Departments. Departments AGRICULTURE AND FARMERS WELFARE DEPARTMENT - Banning of six (6) hazardous pesticides for a period of 60 days and banning of use of 3% Yellow Phosphorus [Ratol] for Insecticidal purpose permanently under the Insecticides Act.,http://www.stationeryprinting.tn.gov.in/gazette/2023/9_II_1_2023.pdf,2023-03-01,9,False,https://web.archive.org/web/20230404090123/http://www.stationeryprinting.tn.gov.in/gazette/2023/9_II_1_2023.pdf,2023-04-04 09:01:23
54,8. Part VI--Section 4,Advertisements by private individuals and private institutions PRIVATE ADVERTISEMENTS - Change of Names - Notices,http://www.stationeryprinting.tn.gov.in/gazette/2023/9_VI_4_2023.pdf,2023-03-01,9,False,https://web.archive.org/web/20230404090121/http://www.stationeryprinting.tn.gov.in/gazette/2023/9_VI_4_2023.pdf,2023-04-04 09:01:21
